state,week_start,building_percentage,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cumulative_cases,new_cases
Georgia,2020-04-20,0.6376733259999999,-32.57142857142857,-11.428571428571429,1.2857142857142858,-49.0,-42.42857142857143,16.714285714285715,23486.0,5185.0
Georgia,2020-04-27,0.6501789179999999,-24.142857142857142,-4.857142857142857,17.857142857142858,-43.285714285714285,-39.42857142857143,13.571428571428571,28665.0,5179.0
Georgia,2020-05-04,0.6709221710000001,-18.571428571428573,1.2857142857142858,17.285714285714285,-40.857142857142854,-36.57142857142857,12.571428571428571,33580.0,4915.0
Georgia,2020-05-11,0.7005926640000001,-18.428571428571427,-2.5714285714285716,38.0,-39.285714285714285,-34.42857142857143,12.0,37579.0,3999.0
Georgia,2020-05-18,0.7025682120000001,-16.0,-1.4285714285714286,30.285714285714285,-37.285714285714285,-33.57142857142857,11.428571428571429,42902.0,5323.0
Georgia,2020-05-25,0.652657671,-17.285714285714285,-3.142857142857143,33.714285714285715,-39.285714285714285,-35.0,12.142857142857142,47063.0,4161.0
Georgia,2020-06-01,0.74194871,-12.142857142857142,-0.14285714285714285,45.42857142857143,-37.0,-29.857142857142858,9.571428571428571,51898.0,4835.0
Georgia,2020-06-08,0.721037722,-12.0,-1.5714285714285714,48.714285714285715,-35.0,-28.714285714285715,9.0,57681.0,5783.0
Georgia,2020-06-15,0.7654316390000001,-10.142857142857142,1.0,57.714285714285715,-32.57142857142857,-28.857142857142858,7.571428571428571,64701.0,7020.0
Georgia,2020-06-22,0.7344379009999998,-12.142857142857142,-2.4285714285714284,41.714285714285715,-31.285714285714285,-29.714285714285715,8.857142857142858,77210.0,12509.0
Georgia,2020-06-29,0.5917138809999999,-11.428571428571429,0.7142857142857143,52.0,-31.714285714285715,-37.285714285714285,9.142857142857142,95516.0,18306.0
Georgia,2020-07-06,0.670437603,-12.285714285714286,-3.0,41.142857142857146,-30.714285714285715,-32.0,9.428571428571429,116935.0,21419.0
Georgia,2020-07-13,0.660187118,-11.428571428571429,-1.8571428571428572,48.0,-31.0,-32.285714285714285,8.857142857142858,143129.0,26194.0
Georgia,2020-07-20,0.7233487399999999,-12.285714285714286,-3.2857142857142856,42.42857142857143,-31.0,-32.142857142857146,9.0,167953.0,24824.0
Georgia,2020-07-27,0.7129118830000001,-11.142857142857142,-2.5714285714285716,43.857142857142854,-30.571428571428573,-31.857142857142858,8.428571428571429,193177.0,25224.0
Georgia,2020-08-03,0.716937528,-11.142857142857142,-3.857142857142857,43.285714285714285,-30.142857142857142,-31.428571428571427,8.285714285714286,216596.0,23419.0
Georgia,2020-08-10,0.686912927,-12.428571428571429,-5.428571428571429,32.142857142857146,-30.0,-31.285714285714285,8.0,237030.0,20434.0
Idaho,2020-02-24,1.0,10.142857142857142,8.142857142857142,33.142857142857146,9.428571428571429,3.5714285714285716,-1.5714285714285714,0.0,0.0
